"Table with row headers in column A and column headers in row 8, repeated in row 48. Leading dots indicate sub-parts.",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000,,,,,,,,,
Geographic area: United States,,,,,,,,,
"All race and ethnic groups, female",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma"
.18 years ,"473,369","346,739","93,282","3,106",- ,- ,- ,-,
.19 years ,"631,321","402,461","515,440","17,435","4,632",- ,- ,-,
20 to 24 years ,"2,452,500","765,183","2,822,059","593,877","1,141,810","62,764","22,814","3,035",
.20 years ,"568,942","178,927","817,707","68,944","15,407","1,531",181,34,
.21 years ,"515,091","151,845","726,896","119,114","62,530","2,281","2,953",377,
.22 years ,"479,882","146,264","543,428","134,279","242,295","5,706","4,040",568,
.23 years ,"450,607","144,380","393,462","135,356","391,228","16,750","5,927",790,
.24 years ,"437,978","143,767","340,566","136,184","430,350","36,496","9,713","1,266",
25 to 29 years ,"2,225,795","735,275","1,599,889","780,488","2,190,604","470,254","142,432","23,058",
30 to 34 years ,"2,533,539","802,338","1,567,879","878,443","2,081,111","621,543","191,563","54,891",
35 to 39 years ,"3,149,729","965,894","1,799,396","1,079,386","2,128,366","642,886","202,894","67,536",
40 to 44 years ,"3,223,625","974,084","1,745,056","1,071,382","1,993,931","709,400","196,173","68,873",
45 to 49 years ,"2,833,365","859,445","1,539,569","881,125","1,716,582","848,047","178,636","79,379",
50 to 54 years ,"2,621,348","765,227","1,304,352","617,134","1,306,130","783,478","131,414","81,711",
55 to 59 years ,"2,295,609","569,367","922,682","379,281","816,742","491,309","86,858","59,521",
60 to 64 years ,"2,029,184","422,191","665,441","249,532","541,764","296,570","60,917","35,785",
65 to 69 years ,"1,906,902","340,565","554,416","176,184","428,534","211,354","48,927","25,151",
70 to 74 years ,"1,819,889","300,592","515,918","131,924","375,773","168,764","43,458","19,752",
75 to 79 years ,"1,608,151","248,991","447,729","94,507","285,490","121,849","39,283","14,362",
80 to 84 years ,"1,064,251","141,969","280,847","58,135","204,035","80,781","26,156","9,535",
85 years and over ,"826,306","108,010","241,664","57,306","219,443","76,546","25,717","12,212",
,,,,,,,,,
25 years and over ,"28,137,693","7,233,948","13,184,838","6,454,827","14,288,505","5,522,781","1,374,428","551,766",
Note: - Represents zero or rounds to zero.,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,
